environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.6092659322365318,0.4418373581644549,0.7766945063086087,3,1.999899331000116,hours,time,mean,95ci,True
hopper,Hopper,OPOLO,OPOLO,0.7788102242528575,0.7302604087893645,0.8273600397163505,3,1.9998849417765936,hours,time,mean,95ci,True
hopper,Hopper,GAIfO,GAIfO,0.6239752523279841,0.3042552149820442,0.943695289673924,3,1.9999022065268623,hours,time,mean,95ci,True
hopper,Hopper,MAAD,MAAD,0.6826135431614392,0.5125600627597906,0.8526670235630878,3,1.9997563736380555,hours,time,mean,95ci,True
hopper,Hopper,ILD,ILD,0.8378337489300701,0.7985827435105237,0.8770847543496165,3,1.9998588525586658,hours,time,mean,95ci,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.9589302952909299,0.9538979473769222,0.9639626432049375,6,1.999629613359769,hours,time,mean,95ci,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.9619554968631848,0.9336410534566129,0.9902699402697568,6,1.9997452678283056,hours,time,mean,95ci,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9779019382591044,0.9609139155278046,0.9948899609904043,6,1.9996564344565073,hours,time,mean,95ci,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.581581153952768,0.25075775730904487,0.9124045505964911,5,1.4123504761433332,hours,time,mean,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.40147853331722977,0.06329717572770954,0.73965989090675,6,1.3780066572866667,hours,time,mean,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.7623331223405065,0.46118513702796793,1.063481107653045,6,1.4914444225019443,hours,time,mean,95ci,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.5587942714648267,0.5101704271011558,0.6074181158284977,6,1.4930463499583333,hours,time,mean,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.8187942987192628,0.7209612738363996,0.916627323602126,5,1.493398760471389,hours,time,mean,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.6546311627835543,0.4807252541645002,0.8285370714026083,6,1.4936955769752778,hours,time,mean,95ci,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.19444311654492727,0.062053156248759955,0.3268330768410946,3,2.9999330972300635,hours,time,mean,95ci,True
ant,Ant,OPOLO,OPOLO,0.1835129364794733,-0.0004995066816534666,0.36752537964060006,3,2.999799679319064,hours,time,mean,95ci,True
ant,Ant,GAIfO,GAIfO,0.21423049349229903,-0.06423210348213251,0.4926930904667306,3,2.9998729944229128,hours,time,mean,95ci,True
ant,Ant,MAAD,MAAD,0.09848491549974614,0.006667193637195007,0.19030263736229727,3,2.999771651112778,hours,time,mean,95ci,True
ant,Ant,ILD,ILD,1.0004775154325973,0.9981924875564996,1.002762543308695,10,2.991275293257222,hours,time,mean,95ci,True
ant,Ant,FOCUS-l2,FOCUS-l2,0.5692810284374104,0.38498812524017006,0.7535739316346506,6,2.999816594133611,hours,time,mean,95ci,True
ant,Ant,FOCUS-ot-l2,FOCUS-OT-l2,0.8328676410051173,0.6283965969124198,1.037338685097815,6,2.999428238634722,hours,time,mean,95ci,True
ant,Ant,FOCUS-ot-cos,FOCUS-OT-cos,0.863872504506004,0.7499622465541556,0.9777827624578523,6,2.9996161221344444,hours,time,mean,95ci,True
ant,Ant,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.552820318651178,0.48716244054537916,0.6184781967569768,3,2.3764901935199996,hours,time,mean,95ci,True
ant,Ant,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.15754079153799036,0.09531356531751337,0.21976801775846735,3,2.3727429314936117,hours,time,mean,95ci,True
ant,Ant,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.5411772626395706,0.49413966390067116,0.5882148613784699,5,2.3712462492324997,hours,time,mean,95ci,True
ant,Ant,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.32365073589215193,0.19001641213706177,0.4572850596472421,4,2.360971784604722,hours,time,mean,95ci,True
ant,Ant,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.14966436957712778,0.08962819743115102,0.20970054172310454,3,2.4934980294063886,hours,time,mean,95ci,True
ant,Ant,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.15474971320018344,0.06786336538623707,0.24163606101412982,5,2.458186024472778,hours,time,mean,95ci,True
humanoid,Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.21627975565517196,0.04383431639474475,0.3887251949155992,3,5.999822238551245,hours,time,mean,95ci,True
humanoid,Humanoid,OPOLO,OPOLO,0.26681850912847277,0.12207652987952622,0.4115604883774193,3,5.9998238722483315,hours,time,mean,95ci,True
humanoid,Humanoid,GAIfO,GAIfO,0.10453356119725248,0.06997027416971002,0.13909684822479493,3,5.999666770299275,hours,time,mean,95ci,True
humanoid,Humanoid,MAAD,MAAD,0.15942616293670067,0.09685581937510404,0.2219965064982973,3,5.999444212699722,hours,time,mean,95ci,True
humanoid,Humanoid,ILD,ILD,0.3759243436384628,0.08844710106921466,0.663401586207711,10,5.999110885786112,hours,time,mean,95ci,True
humanoid,Humanoid,FOCUS-l2,FOCUS-l2,0.6443239848350382,0.4800244106487348,0.8086235590213415,6,5.999015976604722,hours,time,mean,95ci,True
humanoid,Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.642459076189977,0.4001313056070568,0.8847868467728972,6,5.9992651903675,hours,time,mean,95ci,True
humanoid,Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.7524306600050917,0.567238757536785,0.9376225624733985,6,5.999257044557223,hours,time,mean,95ci,True
humanoid,Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.4491856498777043,0.41710758523068703,0.4812637145247216,5,5.998231121987778,hours,time,mean,95ci,True
humanoid,Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.2438791505012724,-0.018751654023864306,0.5065099550264092,4,5.999103518816666,hours,time,mean,95ci,True
humanoid,Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.2346832240720251,0.18543059006003831,0.2839358580840119,4,5.9991295508225,hours,time,mean,95ci,True
humanoid,Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.08652537164265961,0.02990795642637687,0.14314278685894236,3,5.999293808945834,hours,time,mean,95ci,True
humanoid,Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.03473955049476557,0.009827038117331554,0.05965206287219958,4,5.998880439668611,hours,time,mean,95ci,True
humanoid,Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.07879359166242197,0.009328326182970387,0.14825885714187356,5,5.9989705349,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.032537322218186115,-0.014292431104782052,0.07936707554115428,3,5.999800045159128,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,OPOLO,OPOLO,0.012063185699086284,-0.008295508051641724,0.03242187944981429,3,5.999610772397783,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,GAIfO,GAIfO,0.02517214047446692,0.007226924258636167,0.043117356690297676,3,5.999706250031789,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,MAAD,MAAD,0.045366494348109694,-0.01527255766868868,0.10600554636490807,3,5.999564016698889,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ILD,ILD,0.46994253504206907,0.05277958330620386,0.8871054867779342,4,5.999225061283888,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,FOCUS-l2,FOCUS-l2,0.557533837857728,0.36069693720811735,0.7543707385073387,6,5.99936990328,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.9378053691799232,0.9318751138004489,0.9437356245593975,6,5.9989572934075,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.9087534802675167,0.8913593178133965,0.9261476427216369,6,5.998947549894445,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.07335640337763558,0.05802240856872224,0.0886903981865489,3,5.999264775853056,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.22520016594936199,0.20846639965999103,0.24193393223873294,2,5.995810437449444,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.08064339288452081,0.026071868036893098,0.13521491773214853,5,5.998822466595278,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.11552539329595816,0.0744129184001705,0.15663786819174583,3,5.997772858043334,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.022746466514864047,-0.00013648445948337765,0.04562941748921147,3,5.999123336593334,hours,time,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.10028682850785528,0.08039462151261012,0.12017903550310044,4,5.9981128226125,hours,time,mean,95ci,True
